Iteration	Posterior	Likelihood	Prior	ephemerality[1]	ephemerality[2]	ephemerality[3]	ephemerality[4]	ephemerality_observed[1]	ephemerality_observed[2]	evolvability[1]	evolvability[2]	evolvability[3]	evolvability[4]	evolvability_observed[1]	evolvability_observed[2]	global_ephemerality	global_evolvability	global_net_pop_formation	global_pop_turnover	global_speciation_success	net_pop_formation_rate[1]	net_pop_formation_rate[2]	net_pop_formation_rate[3]	net_pop_formation_rate[4]	net_pop_formation_rate_observed[1]	net_pop_formation_rate_observed[2]	pop_turnover[1]	pop_turnover[2]	pop_turnover[3]	pop_turnover[4]	pop_turnover_observed[1]	pop_turnover_observed[2]	speciation_success[1]	speciation_success[2]	speciation_success[3]	speciation_success[4]	speciation_success_observed[1]	speciation_success_observed[2]
60	-609.7651	-528.8112	-80.95397	0.660665	0.660665	10.4787	10.4787	6.20067	6.20067	0.891583	0.603754	5.62714	5.33931	6.1567	5.86887	6.200668	12.02556	10.3465	0.7692552	0.1240601	0.218848	0.218848	4.9544	4.9544	5.17325	5.17325	0.968734	0.968734	0.678707	0.678707	0.769255	0.769255	1.4663	1.4663	0.06477	0.06477	0.12406	0.12406
61	-607.28	-521.6681	-85.61192	1.13494	1.13494	13.3745	13.3745	9.08125	9.08125	0.829131	0.47987	5.62931	5.28005	6.02604	5.67678	9.081246	11.70282	10.3465	0.7692552	0.08470811	0.218848	0.218848	4.9544	4.9544	5.17325	5.17325	0.968734	0.968734	0.678707	0.678707	0.769255	0.769255	0.853553	0.853553	0.0507464	0.0507464	0.0847081	0.0847081
62	-605.5495	-526.0515	-79.49797	0.84917	0.84917	13.4686	13.4686	7.96988	7.96988	0.798965	0.528078	5.53452	5.26363	5.99412	5.72323	7.969883	11.71735	10.3465	0.7692552	0.09652026	0.218848	0.218848	4.9544	4.9544	5.17325	5.17325	0.968734	0.968734	0.678707	0.678707	0.769255	0.769255	1.1408	1.1408	0.0503919	0.0503919	0.0965203	0.0965203
63	-609.0107	-525.5801	-83.43061	0.84917	0.84917	13.4686	13.4686	7.96988	7.96988	0.798965	0.528078	5.53452	5.26363	5.99412	5.72323	7.969883	11.71735	10.3465	0.7692552	0.09652026	0.218848	0.218848	4.9544	4.9544	5.17325	5.17325	0.968734	0.968734	0.678707	0.678707	0.769255	0.769255	1.1408	1.1408	0.0503919	0.0503919	0.0965203	0.0965203
64	-605.279	-528.0079	-77.27108	0.811286	0.811286	12.8677	12.8677	7.61432	7.61432	0.752125	0.530521	5.48768	5.26608	5.95894	5.73733	7.614317	11.69627	10.3465	0.7692552	0.1010275	0.218848	0.218848	4.9544	4.9544	5.17325	5.17325	0.968734	0.968734	0.678707	0.678707	0.769255	0.769255	1.19407	1.19407	0.0527451	0.0527451	0.101027	0.101027
65	-621.4512	-532.9793	-88.47192	0.581716	0.581716	9.22652	9.22652	5.45969	5.45969	0.855253	0.633649	5.59081	5.3692	6.16519	5.94359	5.459693	12.10878	10.3465	0.7692552	0.1408972	0.218848	0.218848	4.9544	4.9544	5.17325	5.17325	0.968734	0.968734	0.678707	0.678707	0.769255	0.769255	1.6653	1.6653	0.0735605	0.0735605	0.140897	0.140897
66	-607.737	-523.9361	-83.80089	1.09045	1.09045	11.6717	11.6717	7.20609	7.20609	0.956877	0.637432	5.53842	5.21898	6.09664	5.7772	7.206094	11.87384	10.3465	0.7580598	0.1051971	0.302838	0.302838	4.87041	4.87041	5.17325	5.17325	0.954636	0.954636	0.668829	0.668829	0.75806	0.75806	0.875451	0.875451	0.0573033	0.0573033	0.105197	0.105197
67	-609.2054	-524.8474	-84.35808	0.873672	0.873672	9.84421	9.84421	5.92566	5.92566	1.03319	0.705163	5.60076	5.27274	6.22442	5.89639	5.925664	12.12081	10.3465	0.7580598	0.1279283	0.302838	0.302838	4.87041	4.87041	5.17325	5.17325	0.954636	0.954636	0.668829	0.668829	0.75806	0.75806	1.09267	1.09267	0.0679414	0.0679414	0.127928	0.127928
68	-611.0199	-526.8834	-84.13647	1.35492	0.644689	15.2667	7.26412	9.18969	4.37259	0.918106	0.825145	5.48568	5.39272	5.98936	6.13146	5.925664	12.12081	10.3465	0.7580598	0.1279283	0.302838	0.302838	4.87041	4.87041	5.17325	5.17325	0.954636	0.954636	0.668829	0.668829	0.75806	0.75806	0.704572	1.48077	0.0438097	0.092073	0.0824902	0.173366
69	-616.8401	-529.6809	-87.1593	2.9362	0.629215	11.267	5.24635	9.47482	4.22682	0.95916	0.54014	5.71049	5.41186	6.25522	5.86559	5.925664	12.12081	10.3465	0.7580598	0.1279283	0.422544	0.183132	5.01657	4.72426	5.43911	4.90739	0.936144	0.972806	0.655874	0.681559	0.743376	0.772488	0.318829	1.54606	0.0582117	0.129911	0.0784581	0.182759
70	-622.248	-525.7229	-96.52513	1.39565	0.664072	18.7351	8.91444	11.2147	5.33609	0.830389	0.695178	5.49586	5.36065	5.91265	5.97025	7.231389	11.8829	10.3465	0.75882	0.1049342	0.253892	0.253892	4.91936	4.91936	5.17325	5.17325	0.962087	0.962087	0.666552	0.666552	0.75882	0.75882	0.689346	1.44877	0.0355777	0.0747722	0.0676633	0.142205
71	-625.6711	-524.6668	-101.0042	0.706617	0.355144	13.7671	6.9193	8.1757	4.10909	0.745585	0.795433	5.57049	5.62034	5.97262	6.26007	5.469311	12.23269	10.3465	0.75882	0.1387414	0.174171	0.174171	4.99908	4.99908	5.17325	5.17325	0.973992	0.973992	0.661148	0.661148	0.75882	0.75882	1.37839	2.74253	0.0480239	0.0955514	0.092814	0.184669
72	-616.9564	-526.86	-90.09642	0.371187	0.371187	5.07256	5.07256	3.54103	3.54103	0.962532	0.774787	5.98199	5.79425	6.60107	6.41332	3.541031	13.01439	10.3465	0.75882	0.2142935	0.174171	0.174171	4.99908	4.99908	5.17325	5.17325	0.973992	0.973992	0.661148	0.661148	0.75882	0.75882	2.62399	2.62399	0.130338	0.130338	0.214294	0.214294
73	-621.3309	-526.5599	-94.771	1.07287	1.07287	5.25356	5.25356	3.54103	3.54103	1.4374	1.24966	5.50712	5.31937	6.60107	6.41332	3.541031	13.01439	10.3465	0.75882	0.2142935	0.598257	0.598257	4.57499	4.57499	5.17325	5.17325	0.910664	0.910664	0.689894	0.689894	0.75882	0.75882	0.848813	0.848813	0.131319	0.131319	0.214294	0.214294
74	-626.4959	-529.6209	-96.875	1.28648	0.795223	7.453	4.60697	4.6348	2.86494	1.35308	1.42696	5.32982	5.40369	6.33945	6.67494	3.541031	13.01439	10.3465	0.75882	0.2142935	0.598257	0.598257	4.57499	4.57499	5.17325	5.17325	0.910664	0.910664	0.689894	0.689894	0.75882	0.75882	0.707871	1.14517	0.0925659	0.14975	0.163722	0.264865
75	-625.2053	-529.5638	-95.64146	0.800829	0.800829	6.90738	6.90738	4.19799	4.19799	1.19858	1.01084	5.57564	5.3879	6.42758	6.23983	4.197994	12.66741	10.3465	0.75882	0.1807577	0.398095	0.398095	4.77516	4.77516	5.17325	5.17325	0.940554	0.940554	0.676327	0.676327	0.75882	0.75882	1.17448	1.17448	0.0979136	0.0979136	0.180758	0.180758
76	-620.2534	-526.3896	-93.8638	0.800829	0.800829	6.90738	6.90738	4.19799	4.19799	1.19891	1.01116	5.57597	5.38822	6.42758	6.23983	4.197994	12.66741	10.3465	0.75882	0.1807577	0.398095	0.398095	4.77516	4.77516	5.17325	5.17325	0.940554	0.940554	0.676327	0.676327	0.75882	0.75882	1.17448	1.17448	0.0979136	0.0979136	0.180758	0.180758
77	-619.4414	-529.5545	-89.88691	0.800829	0.800829	6.90738	6.90738	4.19799	4.19799	1.1961	1.00835	5.57316	5.38541	6.42758	6.23983	4.197994	12.66741	10.3465	0.75882	0.1807577	0.398095	0.398095	4.77516	4.77516	5.17325	5.17325	0.940554	0.940554	0.676327	0.676327	0.75882	0.75882	1.17448	1.17448	0.0979136	0.0979136	0.180758	0.180758
78	-606.3524	-521.4797	-84.87267	1.07161	1.54411	6.35568	9.15807	3.94566	5.6854	1.41191	1.07194	5.41715	5.07718	6.48738	5.99519	4.658396	12.48258	10.3465	0.75882	0.162893	0.584005	0.584005	4.58925	4.58925	5.17325	5.17325	0.912793	0.912793	0.688928	0.688928	0.75882	0.75882	0.851798	0.591146	0.108396	0.0752263	0.192318	0.133468
79	-610.9182	-527.2507	-83.66758	1.22495	1.22495	7.26514	7.26514	4.51026	4.51026	1.22354	1.09089	5.10141	4.96877	6.07696	5.94431	4.510256	12.02127	10.01748	0.75882	0.1682432	0.565433	0.565433	4.4433	4.4433	5.00874	5.00874	0.912793	0.912793	0.688928	0.688928	0.75882	0.75882	0.745169	0.745169	0.0948265	0.0948265	0.168243	0.168243
80	-616.2452	-529.0169	-87.22823	1.22495	1.22495	7.26514	7.26514	4.51026	4.51026	1.2508	1.10212	5.12867	4.97999	6.10422	5.95554	4.510256	12.05976	10.01748	0.75882	0.1682432	0.565433	0.565433	4.4433	4.4433	5.00874	5.00874	0.912793	0.912793	0.688928	0.688928	0.75882	0.75882	0.745169	0.745169	0.0948265	0.0948265	0.168243	0.168243
81	-617.704	-533.591	-84.11295	1.51436	1.02841	8.98162	6.09947	5.57586	3.7866	1.17028	1.18265	5.04815	5.06052	5.94317	6.11659	4.510256	12.05976	10.01748	0.75882	0.1682432	0.565433	0.565433	4.4433	4.4433	5.00874	5.00874	0.912793	0.912793	0.688928	0.688928	0.75882	0.75882	0.602759	0.887578	0.0767042	0.112949	0.13609	0.200396
82	-620.6234	-526.5653	-94.05816	1.57359	1.06863	9.33293	6.33804	5.79395	3.93471	1.25514	1.24753	5.28469	5.27708	6.20414	6.35757	4.686669	12.56171	10.4093	0.75882	0.1619103	0.58755	0.58755	4.6171	4.6171	5.20465	5.20465	0.912793	0.912793	0.688928	0.688928	0.75882	0.75882	0.58007	0.854168	0.0738169	0.108697	0.130968	0.192853
83	-620.2661	-527.6139	-92.65218	3.14818	1.73699	7.14103	3.94003	6.25425	3.45075	1.1374	1.11534	5.05454	5.22613	5.85624	6.17443	4.447574	12.03067	9.878259	0.75882	0.1706144	0.630182	0.630182	4.30895	4.30895	4.93913	4.93913	0.901437	0.901437	0.694083	0.694083	0.75882	0.75882	0.286336	0.518964	0.0971964	0.176162	0.121329	0.2199
84	-607.7585	-529.5675	-78.19097	2.23392	1.23256	13.5854	7.49568	8.41906	4.64517	1.03835	1.0083	4.89062	4.86058	5.64647	5.79726	5.987029	11.44373	9.878259	0.75882	0.126744	0.543426	0.543426	4.3957	4.3957	4.93913	4.93913	0.915006	0.915006	0.687924	0.687924	0.75882	0.75882	0.409596	0.742365	0.0506369	0.091776	0.0901312	0.163357
85	-608.9962	-529.4681	-79.52814	2.15516	1.1891	13.7239	7.57211	8.4628	4.6693	1.01802	0.987976	4.91404	4.88399	5.64647	5.79726	6.018135	11.44373	9.878259	0.7627626	0.126744	0.521556	0.521556	4.41757	4.41757	4.93913	4.93913	0.91976	0.91976	0.691498	0.691498	0.762763	0.762763	0.426771	0.773494	0.0503862	0.0913217	0.0901312	0.163357
86	-605.6326	-527.3938	-78.23876	1.53259	1.53259	9.75948	9.75948	6.01814	6.01814	1.34621	0.879472	5.24222	4.77549	6.0608	5.59407	6.018135	11.65487	9.878259	0.7627626	0.126744	0.521556	0.521556	4.41757	4.41757	4.93913	4.93913	0.91976	0.91976	0.691498	0.691498	0.762763	0.762763	0.600133	0.600133	0.0708539	0.0708539	0.126744	0.126744
87	-612.2568	-527.3773	-84.87946	3.76959	1.53867	24.0045	9.7982	14.8023	6.04201	1.16085	0.878628	5.05687	4.77465	5.68931	5.59159	8.581296	11.2809	9.878259	0.7627626	0.08888664	0.521556	0.521556	4.41757	4.41757	4.93913	4.93913	0.91976	0.91976	0.691498	0.691498	0.762763	0.762763	0.243995	0.597761	0.028807	0.070574	0.0515301	0.126243
88	-618.0399	-528.8564	-89.18346	2.01879	2.01879	14.0093	14.0093	8.5813	8.5813	1.20749	0.740757	5.18937	4.72264	5.87382	5.40708	8.581296	11.2809	9.878259	0.7627626	0.08888664	0.478625	0.478625	4.4605	4.4605	4.93913	4.93913	0.925875	0.925875	0.689431	0.689431	0.762763	0.762763	0.458629	0.458629	0.0492122	0.0492122	0.0888866	0.0888866
89	-625.0146	-532.3104	-92.7042	3.41884	3.41884	13.2915	13.2915	8.5813	8.5813	1.60641	1.13455	4.81184	4.33998	5.87926	5.4074	8.581296	11.28666	9.878259	0.7627626	0.08888664	0.866848	0.866848	4.07228	4.07228	4.93913	4.93913	0.865751	0.865751	0.716461	0.716461	0.762763	0.762763	0.253229	0.253229	0.0539038	0.0539038	0.0888866	0.0888866
90	-622.0355	-526.8538	-95.18169	1.63715	0.747562	22.9885	10.4971	13.6871	6.24986	0.919574	0.585002	5.39115	5.05658	5.74361	5.57282	8.581296	11.31643	9.878259	0.7627626	0.08888664	0.233777	0.233777	4.70535	4.70535	4.93913	4.93913	0.963795	0.963795	0.672383	0.672383	0.762763	0.762763	0.588701	1.28925	0.0292486	0.0640542	0.0557285	0.122045
91	-614.7908	-529.2987	-85.49207	5.97971	1.8156	25.5018	10.5534	16.5492	6.57	1.61459	0.941498	5.85235	4.83443	6.9059	5.71324	9.712967	12.61914	11.18097	0.7627626	0.07853034	0.931825	0.593309	5.16959	4.48625	6.10141	5.07956	0.883168	0.922314	0.67891	0.709002	0.746576	0.779667	0.147694	0.507994	0.0266221	0.0671826	0.0451125	0.118671
92	-606.7272	-524.4499	-82.27727	8.76772	4.00354	39.3314	17.9596	25.2743	11.5408	1.50328	1.06047	5.44095	4.99813	6.33608	5.99365	15.84599	12.32972	11.18097	0.7627626	0.048136	0.826409	0.826409	4.76407	4.76407	5.59048	5.59048	0.894997	0.894997	0.696451	0.696451	0.762763	0.762763	0.102079	0.223551	0.0177073	0.0387787	0.0301794	0.0660926
93	-612.1029	-529.2206	-82.88225	4.75748	2.17237	19.6399	8.96803	13.0506	5.95922	1.43224	1.04344	4.81694	4.42813	5.64103	5.40661	8.182235	11.04764	9.609313	0.704845	0.08614332	0.709981	0.709981	4.09468	4.09468	4.80466	4.80466	0.869411	0.869411	0.622321	0.622321	0.704845	0.704845	0.182746	0.400212	0.0316866	0.0693932	0.0540085	0.118278
94	-618.3094	-529.5949	-88.7145	0.67203	0.306865	16.6866	7.61951	9.73686	4.44608	0.803515	0.651907	5.34275	5.19114	5.65215	5.73123	6.104635	11.38338	9.609313	0.7857158	0.1287081	0.132712	0.132712	4.67194	4.67194	4.80466	4.80466	0.981655	0.981655	0.692389	0.692389	0.785716	0.785716	1.46073	3.19898	0.0414936	0.0908706	0.080695	0.176721
95	-620.4199	-533.9231	-86.49689	4.49938	1.18122	23.5268	6.17649	14.6789	3.85364	1.17402	1.20756	4.71034	4.74388	5.45593	5.85069	6.104635	11.30662	9.609313	0.7857158	0.1287081	0.634165	0.634165	4.17049	4.17049	4.80466	4.80466	0.912336	0.912336	0.725406	0.725406	0.785716	0.785716	0.202769	0.772368	0.0308331	0.117446	0.0535269	0.203889
96	-608.401	-529.6037	-78.79727	5.14159	1.34982	26.8849	7.05807	16.774	4.40368	1.16204	1.14714	4.69837	4.68347	5.4278	5.72901	6.975963	11.15681	9.609313	0.7857158	0.1126319	0.634165	0.634165	4.17049	4.17049	4.80466	4.80466	0.912336	0.912336	0.725406	0.725406	0.785716	0.785716	0.177443	0.675896	0.0269819	0.102777	0.0468412	0.178423
97	-617.5343	-530.3771	-87.15713	11.0128	2.89119	34.4576	9.04614	23.0386	6.04831	1.55982	1.45463	4.25126	4.14608	5.37182	5.49678	9.581251	10.8686	9.609313	0.7857158	0.08200555	1.05661	1.05661	3.74805	3.74805	4.80466	4.80466	0.85394	0.85394	0.75322	0.75322	0.785716	0.785716	0.0775406	0.29536	0.0218593	0.0832643	0.0341043	0.129907
98	-609.4229	-530.4713	-78.95153	11.0128	2.89119	34.4576	9.04614	23.0386	6.04831	1.55393	1.44874	4.24537	4.14019	5.37182	5.49678	9.581251	10.8686	9.609313	0.7857158	0.08200555	1.05661	1.05661	3.74805	3.74805	4.80466	4.80466	0.85394	0.85394	0.75322	0.75322	0.785716	0.785716	0.0775406	0.29536	0.0218593	0.0832643	0.0341043	0.129907
99	-604.7683	-525.0754	-79.69291	5.59154	1.46794	37.6941	9.8958	23.0386	6.04831	0.950403	0.923405	4.77204	4.74504	5.33272	5.53588	9.581251	10.8686	9.609313	0.7857158	0.08200555	0.491509	0.491509	4.31315	4.31315	4.80466	4.80466	0.932056	0.932056	0.716013	0.716013	0.785716	0.785716	0.16669	0.63494	0.0189954	0.0723552	0.0341043	0.129907
100	-617.0438	-523.9414	-93.1024	4.30048	1.129	28.9907	7.6109	17.7191	4.65178	1.14758	1.0658	4.96921	4.88744	5.55737	5.77483	7.368977	11.3322	9.609313	0.7857158	0.1066248	0.491509	0.491509	4.31315	4.31315	4.80466	4.80466	0.932056	0.932056	0.716013	0.716013	0.785716	0.785716	0.216733	0.825558	0.0246981	0.0940773	0.044343	0.168907
