Iteration	Posterior	Likelihood	Prior	ephemerality[1]	ephemerality[2]	ephemerality[3]	ephemerality[4]	ephemerality_observed[1]	ephemerality_observed[2]	evolvability[1]	evolvability[2]	evolvability[3]	evolvability[4]	evolvability_observed[1]	evolvability_observed[2]	global_ephemerality	global_evolvability	global_net_pop_formation	global_pop_turnover	global_speciation_success	net_pop_formation_rate[1]	net_pop_formation_rate[2]	net_pop_formation_rate[3]	net_pop_formation_rate[4]	net_pop_formation_rate_observed[1]	net_pop_formation_rate_observed[2]	pop_turnover[1]	pop_turnover[2]	pop_turnover[3]	pop_turnover[4]	pop_turnover_observed[1]	pop_turnover_observed[2]	speciation_success[1]	speciation_success[2]	speciation_success[3]	speciation_success[4]	speciation_success_observed[1]	speciation_success_observed[2]
14	-652.7233	-574.3746	-78.34867	0.702569	1.60359	2.84437	6.49216	1.99918	4.56305	1.56826	1.08476	5.66512	5.0319	7.21098	6.08564	2.780261	13.29661	10.37923	0.7774507	0.2796323	0.679611	0.679611	4.51001	4.51001	5.18962	5.18962	0.905435	0.905435	0.720435	0.720435	0.777451	0.777451	1.28875	0.564632	0.253285	0.11097	0.388885	0.17038
15	-648.3515	-576.2399	-72.11155	0.714145	1.63001	2.88995	6.5962	2.14928	4.90565	1.32067	0.915357	5.77101	5.13879	7.07003	6.02389	2.989006	13.09392	10.37923	0.7774507	0.2601034	0.571559	0.571559	4.61806	4.61806	5.18962	5.18962	0.92047	0.92047	0.713737	0.713737	0.777451	0.777451	1.28891	0.564702	0.246972	0.108204	0.361726	0.158481
16	-647.1965	-578.0426	-69.15392	0.606014	1.3832	3.79673	8.66589	2.32375	5.30388	1.45565	0.972434	5.50215	5.01893	6.93111	5.96011	3.231648	12.89122	10.37923	0.7774507	0.2405741	0.571559	0.571559	4.61806	4.61806	5.18962	5.18962	0.92047	0.92047	0.713737	0.713737	0.777451	0.777451	1.51889	0.665462	0.187987	0.0823617	0.334567	0.146582
17	-641.786	-565.6954	-76.09065	0.617578	1.4096	3.72694	8.50661	2.32375	5.30388	1.446	0.977683	5.52501	5.03843	6.93771	5.97248	3.231648	12.91019	10.37923	0.7774507	0.2405741	0.571559	0.571559	4.61806	4.61806	5.18962	5.18962	0.92047	0.92047	0.713737	0.713737	0.777451	0.777451	1.49045	0.653002	0.191507	0.0839039	0.334567	0.146582
18	-632.3715	-559.9652	-72.40635	0.723131	1.65052	4.53048	10.3406	2.77284	6.32889	1.32542	0.926606	5.37192	4.97311	6.65839	5.8508	3.856188	12.50919	10.37923	0.7774507	0.2016112	0.571559	0.571559	4.61806	4.61806	5.18962	5.18962	0.92047	0.92047	0.713737	0.713737	0.777451	0.777451	1.2729	0.557686	0.157541	0.0690225	0.280381	0.122841
19	-634.1796	-551.9449	-82.23471	0.796407	1.81777	4.98956	11.3885	3.05381	6.97021	1.38961	0.993648	5.84615	5.45019	7.18818	6.38343	4.246943	13.5716	11.43098	0.7774507	0.1830613	0.629476	0.629476	5.08602	5.08602	5.71549	5.71549	0.92047	0.92047	0.713737	0.713737	0.777451	0.777451	1.15578	0.506374	0.143046	0.0626719	0.254583	0.111539
20	-633.3225	-554.3189	-79.00363	0.574076	1.31031	3.59664	8.20918	2.20129	5.02436	1.66802	1.11356	6.12456	5.5701	7.75146	6.6299	3.061334	14.38137	11.43098	0.7774507	0.2539581	0.629476	0.629476	5.08602	5.08602	5.71549	5.71549	0.92047	0.92047	0.713737	0.713737	0.777451	0.777451	1.60339	0.702485	0.198446	0.0869438	0.35318	0.154736
21	-619.9502	-536.6873	-83.26292	0.461001	1.05222	2.88821	6.59223	1.7677	4.03472	1.58967	1.06844	5.16841	4.64718	6.67133	5.58299	2.458348	12.25432	9.179438	0.7774507	0.3162493	0.505489	0.505489	4.08423	4.08423	4.58972	4.58972	0.92047	0.92047	0.713737	0.713737	0.777451	0.777451	1.99668	0.874791	0.247121	0.108269	0.439808	0.19269
22	-611.6429	-530.3543	-81.2886	0.965653	2.20406	2.29515	5.2386	1.89919	4.33482	1.8467	1.24031	6.27708	5.29161	7.87715	6.45638	2.641202	14.33353	10.86635	0.7774507	0.2943549	0.838726	0.838726	4.59445	4.59445	5.43318	5.43318	0.891977	0.891977	0.72404	0.72404	0.777451	0.777451	0.923704	0.404697	0.315465	0.138213	0.40936	0.17935
23	-612.6265	-526.0543	-86.57221	0.537224	1.22619	2.04649	4.67102	1.75609	4.00821	1.26056	0.797749	6.94724	5.90522	8.01117	6.583	2.442196	14.59417	10.86635	0.7774507	0.3183409	0.388669	0.388669	5.04451	5.04451	5.43318	5.43318	0.949942	0.949942	0.697008	0.697008	0.777451	0.777451	1.76824	0.774708	0.340588	0.14922	0.442717	0.193965
