Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_observed[1]	extinction_observed[2]	global_extinction	global_net_pop_formation	global_pop_formation	global_spCompletion	global_trans_rate	net_pop_formation_rate[1]	net_pop_formation_rate[2]	net_pop_formation_rate[3]	net_pop_formation_rate[4]	net_pop_formation_rate_observed[1]	net_pop_formation_rate_observed[2]	pop_formation[1]	pop_formation[2]	pop_formation[3]	pop_formation[4]	pop_formation_hidden[1]	pop_formation_hidden[2]	pop_formation_observed[1]	pop_formation_observed[2]	R[1]	R[2]	spCompletion[1]	spCompletion[2]	spCompletion[3]	spCompletion[4]	spCompletion_hidden[1]	spCompletion_hidden[2]	spCompletion_observed[1]	spCompletion_observed[2]	spCompletion_relative[1]	spCompletion_relative[2]	transition_rates[1]	transition_rates[2]
12	-657.4965	-583.5906	-73.90596	8.8104	8.8104	15.736	15.736	0.358928	0.641072	24.5464	24.5464	49.09287	10.37923	59.4721	2.063875	0.01574662	0.35404	0.35404	4.83558	4.83558	5.18962	5.18962	9.16444	9.16444	20.5716	20.5716	0.308193	0.691807	29.7361	29.7361	0.00841576	0.00841576	0.515969	0.515969	0.515969	0.515969	0.5	0.5	1.03194	1.03194	0.5	0.5	0.00335301	0.0123936
13	-652.0379	-575.2779	-76.76	6.50712	6.50712	11.6222	11.6222	0.358928	0.641072	18.1293	18.1293	36.25867	10.37923	46.63791	2.902369	0.01511978	0.679611	0.679611	4.51001	4.51001	5.18962	5.18962	7.18673	7.18673	16.1322	16.1322	0.308193	0.691807	23.319	23.319	0.00841576	0.00841576	1.00908	0.442103	1.00908	0.442103	0.5	0.5	2.01816	0.884205	0.695351	0.304649	0.00321954	0.0119002
14	-652.7233	-574.3746	-78.34867	6.50712	6.50712	11.6222	11.6222	0.358928	0.641072	18.1293	18.1293	36.25867	10.37923	46.63791	2.902369	0.0150101	0.679611	0.679611	4.51001	4.51001	5.18962	5.18962	7.18673	7.18673	16.1322	16.1322	0.308193	0.691807	23.319	23.319	0.00960289	0.00960289	0.875849	0.38373	1.14231	0.500475	0.433983	0.566017	2.01816	0.884205	0.695351	0.304649	0.00319618	0.0118139
15	-648.3515	-576.2399	-72.11155	6.61517	6.61517	11.5142	11.5142	0.364888	0.635112	18.1293	18.1293	36.25867	10.37923	46.63791	2.699674	0.0150101	0.571559	0.571559	4.61806	4.61806	5.18962	5.18962	7.18673	7.18673	16.1322	16.1322	0.308193	0.691807	23.319	23.319	0.00922341	0.00922341	0.736689	0.322761	1.14053	0.499694	0.392436	0.607564	1.87722	0.822454	0.695351	0.304649	0.00319618	0.0118139
16	-647.1965	-578.0426	-69.15392	6.61517	6.61517	11.5142	11.5142	0.364888	0.635112	18.1293	18.1293	36.25867	10.37923	46.63791	2.496975	0.0150101	0.571559	0.571559	4.61806	4.61806	5.18962	5.18962	7.18673	7.18673	16.1322	16.1322	0.308193	0.691807	23.319	23.319	0.010736	0.010736	0.868136	0.380351	0.868136	0.380351	0.5	0.5	1.73627	0.760702	0.695351	0.304649	0.0052218	0.0097883
17	-641.786	-565.6954	-76.09065	6.61517	6.61517	11.5142	11.5142	0.364888	0.635112	18.1293	18.1293	36.25867	10.37923	46.63791	2.496975	0.03398047	0.571559	0.571559	4.61806	4.61806	5.18962	5.18962	7.18673	7.18673	16.1322	16.1322	0.308193	0.691807	23.319	23.319	0.010736	0.010736	0.851881	0.373229	0.884392	0.387473	0.490638	0.509362	1.73627	0.760702	0.695351	0.304649	0.0118213	0.0221592
18	-632.3715	-559.9652	-72.40635	6.61517	6.61517	11.5142	11.5142	0.364888	0.635112	18.1293	18.1293	36.25867	10.37923	46.63791	2.09257	0.03738271	0.571559	0.571559	4.61806	4.61806	5.18962	5.18962	7.18673	7.18673	16.1322	16.1322	0.308193	0.691807	23.319	23.319	0.0126182	0.0126182	0.727535	0.31875	0.727535	0.31875	0.5	0.5	1.45507	0.6375	0.695351	0.304649	0.013704	0.0236787
19	-634.1796	-551.9449	-82.23471	7.2855	7.2855	12.6809	12.6809	0.364888	0.635112	19.9664	19.9664	39.93284	11.43098	51.36382	2.09257	0.04805256	0.629476	0.629476	5.08602	5.08602	5.71549	5.71549	7.91498	7.91498	17.7669	17.7669	0.308193	0.691807	25.6819	25.6819	0.0149845	0.0149845	0.727535	0.31875	0.727535	0.31875	0.5	0.5	1.45507	0.6375	0.695351	0.304649	0.0176154	0.0304372
20	-633.3225	-554.3189	-79.00363	7.2855	7.2855	12.6809	12.6809	0.364888	0.635112	19.9664	19.9664	39.93284	11.43098	51.36382	2.902991	0.04739215	0.629476	0.629476	5.08602	5.08602	5.71549	5.71549	7.91498	7.91498	17.7669	17.7669	0.308193	0.691807	25.6819	25.6819	0.0118709	0.0118709	1.0093	0.442197	1.0093	0.442197	0.5	0.5	2.0186	0.884394	0.695351	0.304649	0.0173733	0.0300189
21	-619.9502	-536.6873	-83.26292	5.85049	5.85049	10.1832	10.1832	0.364888	0.635112	16.0337	16.0337	32.06732	9.179438	41.24676	2.902991	0.1718952	0.505489	0.505489	4.08423	4.08423	4.58972	4.58972	6.35598	6.35598	14.2674	14.2674	0.308193	0.691807	20.6234	20.6234	0.0118709	0.0118709	1.0093	0.442197	1.0093	0.442197	0.5	0.5	2.0186	0.884394	0.695351	0.304649	0.0630143	0.108881
